,team,wins,scored
2014,Barcelona,30,110
2014,Real Madrid,30,118
2014,Atletico Madrid,23,67
2014,Valencia,22,70
2014,Sevilla,23,71
2014,Villarreal,16,48
2014,Athletic Club,15,42
2014,Celta Vigo,13,47
2014,Malaga,14,42
2014,Rayo Vallecano,15,46
2014,Espanyol,13,47
2014,Real Sociedad,11,44
2014,Elche,11,35
2014,Getafe,10,33
2014,Levante,9,34
2014,Deportivo La Coruna,7,35
2014,Granada,7,29
2014,Eibar,9,34
2014,Almeria,8,35
2014,Cordoba,3,22
2015,Barcelona,29,112
2015,Real Madrid,28,110
2015,Atletico Madrid,28,63
2015,Villarreal,18,44
2015,Athletic Club,18,58
2015,Celta Vigo,17,51
2015,Sevilla,14,51
2015,Malaga,12,38
2015,Real Sociedad,13,45
2015,Real Betis,11,34
2015,Valencia,11,46
2015,Las Palmas,12,45
2015,Espanyol,12,40
2015,Eibar,11,49
2015,Deportivo La Coruna,8,45
2015,Sporting Gijon,10,40
2015,Granada,10,46
2015,Rayo Vallecano,9,52
2015,Getafe,9,37
2015,Levante,8,37
2016,Real Madrid,29,106
2016,Barcelona,28,116
2016,Atletico Madrid,23,70
2016,Sevilla,21,69
2016,Villarreal,19,56
2016,Real Sociedad,19,59
2016,Athletic Club,19,53
2016,Espanyol,15,49
2016,Alaves,14,41
2016,Eibar,15,56
2016,Malaga,12,49
2016,Valencia,13,56
2016,Celta Vigo,13,53
2016,Las Palmas,10,53
2016,Real Betis,10,41
2016,Deportivo La Coruna,8,43
2016,Leganes,8,36
2016,Sporting Gijon,7,42
2016,Osasuna,4,40
2016,Granada,4,30
2017,Barcelona,28,99
2017,Atletico Madrid,23,58
2017,Real Madrid,22,94
2017,Valencia,22,65
2017,Villarreal,18,57
2017,Real Betis,18,60
2017,Sevilla,17,49
2017,Getafe,15,42
2017,Eibar,14,44
2017,Girona,14,50
2017,Celta Vigo,13,59
2017,Espanyol,12,36
2017,Real Sociedad,14,66
2017,Alaves,15,40
2017,Levante,11,44
2017,Athletic Club,10,41
2017,Leganes,12,34
2017,Deportivo La Coruna,6,38
2017,Las Palmas,5,24
2017,Malaga,5,24
2018,Barcelona,26,90
2018,Atletico Madrid,22,55
2018,Real Madrid,21,63
2018,Valencia,15,51
2018,Sevilla,17,62
2018,Getafe,15,48
2018,Espanyol,14,48
2018,Athletic Club,13,41
2018,Real Sociedad,13,45
2018,Alaves,13,39
2018,Real Betis,14,44
2018,Eibar,11,46
2018,Leganes,11,37
2018,Levante,11,59
2018,Villarreal,10,49
2018,Celta Vigo,10,53
2018,Real Valladolid,10,32
2018,Girona,9,37
2018,SD Huesca,7,43
2018,Rayo Vallecano,8,41
2019,Real Madrid,26,70
2019,Barcelona,25,86
2019,Sevilla,19,54
2019,Atletico Madrid,18,51
2019,Villarreal,18,63
2019,Real Sociedad,16,56
2019,Granada,16,52
2019,Getafe,14,43
2019,Valencia,14,46
2019,Osasuna,13,46
2019,Athletic Club,13,41
2019,Levante,14,47
2019,Real Valladolid,9,32
2019,Eibar,11,39
2019,Real Betis,10,48
2019,Alaves,10,34
2019,Celta Vigo,7,37
2019,Leganes,8,30
2019,Mallorca,9,40
2019,Espanyol,5,27
2014,Chelsea,26,73
2014,Manchester City,24,83
2014,Arsenal,22,71
2014,Manchester United,20,62
2014,Tottenham,19,58
2014,Liverpool,18,52
2014,Southampton,18,54
2014,Swansea,16,46
2014,Stoke,15,48
2014,Crystal Palace,13,47
2014,West Ham,12,44
2014,Everton,12,48
2014,West Bromwich Albion,11,38
2014,Leicester,11,46
2014,Newcastle United,10,40
2014,Aston Villa,10,31
2014,Sunderland,7,31
2014,Hull,8,33
2014,Burnley,7,28
2014,Queens Park Rangers,8,42
2015,Leicester,23,68
2015,Arsenal,20,65
2015,Tottenham,19,69
2015,Manchester United,19,49
2015,Manchester City,19,71
2015,Southampton,18,59
2015,West Ham,16,65
2015,Liverpool,16,63
2015,Stoke,14,41
2015,Chelsea,12,59
2015,Swansea,12,42
2015,Everton,11,59
2015,Watford,12,40
2015,West Bromwich Albion,10,34
2015,Crystal Palace,11,39
2015,Bournemouth,11,45
2015,Sunderland,9,48
2015,Newcastle United,9,44
2015,Norwich,9,39
2015,Aston Villa,3,27
2016,Chelsea,30,85
2016,Tottenham,26,86
2016,Manchester City,23,80
2016,Liverpool,22,78
2016,Arsenal,23,77
2016,Manchester United,18,54
2016,Everton,17,62
2016,Bournemouth,12,55
2016,Southampton,12,41
2016,West Ham,12,47
2016,West Bromwich Albion,12,43
2016,Stoke,11,41
2016,Leicester,12,48
2016,Crystal Palace,12,50
2016,Swansea,12,45
2016,Watford,11,40
2016,Burnley,11,39
2016,Hull,9,37
2016,Middlesbrough,5,27
2016,Sunderland,6,29
2017,Manchester City,32,106
2017,Manchester United,25,68
2017,Tottenham,23,74
2017,Liverpool,21,84
2017,Chelsea,21,62
2017,Arsenal,19,74
2017,Burnley,14,36
2017,Everton,13,44
2017,Leicester,12,56
2017,Crystal Palace,11,45
2017,Bournemouth,11,45
2017,Newcastle United,12,39
2017,West Ham,10,48
2017,Watford,11,44
2017,Brighton,9,34
2017,Huddersfield,9,28
2017,Southampton,7,37
2017,Stoke,7,35
2017,Swansea,8,28
2017,West Bromwich Albion,6,31
2018,Manchester City,32,95
2018,Liverpool,30,89
2018,Chelsea,21,63
2018,Tottenham,23,67
2018,Arsenal,21,73
2018,Manchester United,19,65
2018,Wolverhampton Wanderers,16,47
2018,Everton,15,54
2018,West Ham,15,52
2018,Leicester,15,51
2018,Watford,14,52
2018,Crystal Palace,14,51
2018,Newcastle United,12,42
2018,Bournemouth,13,56
2018,Burnley,11,45
2018,Southampton,9,45
2018,Brighton,9,35
2018,Cardiff,10,34
2018,Fulham,7,34
2018,Huddersfield,3,22
2019,Liverpool,32,85
2019,Manchester City,26,102
2019,Manchester United,18,66
2019,Chelsea,20,69
2019,Leicester,18,67
2019,Tottenham,16,61
2019,Wolverhampton Wanderers,15,51
2019,Arsenal,14,56
2019,Burnley,15,43
2019,Sheffield United,14,39
2019,Southampton,15,51
2019,Everton,13,44
2019,Newcastle United,11,38
2019,Crystal Palace,11,31
2019,Brighton,9,39
2019,West Ham,10,49
2019,Aston Villa,9,41
2019,Watford,8,36
2019,Bournemouth,9,40
2019,Norwich,5,26
