player_id,name,date_of_birth
597,Aleksandr Hleb,1981-05-01
1428,Mike Hanke,1983-11-05
1560,Youssef El Akchaoui,1981-02-18
1587,Mario Eggimann,
1726,Heiko Westermann,1983-08-14
2306,Markus Miller,1982-04-08
2587,Elyasa Süme,1983-08-13
2805,Christian Pander,1983-08-28
2878,Yassin Mikari,1983-01-09
2899,Hervé Tum,1979-02-15
2923,Andreas Ivanschitz,1983-10-15
3273,Matthew Upson,1979-04-18
3287,Steve Banks,1972-02-09
3719,Peter Enckelman,1977-03-10
3875,Jermain Defoe,1982-10-07
3876,Joe Cole,1981-11-08
3924,Didier Drogba,1978-03-11
3942,Martin Lanig,
4070,Liam Ridgewell,1984-07-21
4086,Darren Ambrose,1984-02-29
4361,Dennis Rommedahl,1978-07-22
4742,Christophe Lepoint,1984-10-24
5308,Cédric Carrasso,1981-12-30
5309,Damien Grégorini,1979-03-02
5474,Zoumana Camara,1979-04-03
5544,Johan Audel,1983-12-12
5668,Anthony Réveillère,1979-11-10
5825,Marco Borriello,1982-06-18
5890,Sergio Almirón,1980-11-07
5896,David Pizarro,1979-09-11
5936,Ivan Pelizzoli,1980-11-18
6012,Stefano Lucchini,1980-10-02
6076,David Di Michele,1976-01-06
6717,Giuseppe Colucci,1980-08-24
6838,Henok Goitom,1984-09-22
7109,Andrea Barzagli,1981-05-08
7237,Sabri Sarioglu,1984-07-26
7337,Alan Tate,1982-09-02
7423,Ömer Erdogan,1977-05-03
7985,David Generelo,1982-08-11
8187,Juanmi Callejón,1987-02-11
8538,Tiago Mendes,1981-05-02
9354,Sejad Salihovic,1984-10-08
9506,Craig Beattie,1984-01-16
9604,Sherjill MacDonald,1984-11-20
9667,Stijn Stijnen,1981-04-07
9798,Maksim Shatskikh,1978-08-30
9980,Rob Hulse,1979-10-25
10003,Wes Morgan,1984-01-21
10183,Dani Fernández,1983-01-20
10244,Bernt Evens,1978-11-09
10471,Luiz Gustavo,1987-07-23
10598,Mehdi Taouil,1983-05-20
12515,Guirane N'Daw,1984-04-24
12597,Alan Maybury,1978-08-08
12709,Danny Gabbidon,1979-08-08
12765,Russell Anderson,1978-10-25
12813,Barry Smith,1974-02-19
12988,Stelios Sfakianakis,1976-03-19
13047,Daniel Cruz,1981-05-09
13061,Carl Hoefkens,1978-10-06
13103,Björn Vleminckx,1985-12-01
13283,Bram Castro,1982-09-30
13350,Lewis Price,1984-07-19
13427,Steve Sidwell,1982-12-14
13445,Jurgen Cavens,1978-08-19
13573,Simon Francis,1985-02-16
14013,Matty Fryatt,1986-03-05
14149,Pitbull,1982-01-08
14279,Castro,1979-06-03
14574,Craig Conway,1985-05-02
14856,Andreas Ottl,1985-03-01
14937,Stipe Pletikosa,1979-01-08
15018,João Carlos,1982-01-01
15076,Aleksandr Samedov,1984-07-19
15500,Ángel López,1981-03-10
16252,Christian Kinkela,1982-05-25
16408,Orestis Karnezis,1985-07-11
16498,Ramazan Özcan,1984-06-28
